HUM,TEMP,CO2,HUM(out),TEMP(out),HUMBtn,TEMPBtn
91.1,22.3,421,59.2,32.3,1,1
93.7,22.3,420,58.8,32.2,1,1
,,,,,0,
94.6,22,422,59.3,32.3,0,1
,,,,,0,
93.9,21.8,422,58.8,32.3,0,1
,,,,,0,
,,,,,,0
90.8,21.6,422,59.3,32.2,0,0
,,,,,,0
90.3,21.8,422,59.2,32.2,0,0
90.8,22,422,59.1,32.2,0,0
91.7,22.2,423,59.1,32.2,0,0
92.6,22.4,423,59.1,32.2,0,0
,,,,,0,
93.5,22.7,424,59.2,32.2,0,0
,,,,,0,
94,22.9,427,59.4,32.2,0,0
,,,,,0,
94.4,23.1,426,59.8,32.2,0,0
,,,,,0,
94.6,23.2,426,59.8,32.2,0,0
,,,,,0,
94.7,23.4,426,60,32.2,0,0
,,,,,0,
94.6,23.6,426,60,32.2,0,0
,,,,,0,
94.5,23.8,426,59.5,32.2,0,0
,,,,,0,
,,,,,,1
94.2,23.8,427,60,32.2,0,1
,,,,,0,
,,,,,,
87.6,23.7,428,59.9,32.2,0,1
,,,,,1,
83.8,23.9,427,60.1,32.2,1,1
,,,,,1,
,,,,,,1
91,24,425,60,32.2,1,1
,,,,,,1
92.6,23.8,426,60.1,32.2,1,1
,,,,,0,
,,,,,,
93.6,23.5,428,59.7,32.2,0,1
,,,,,0,
,,,,,,1
89.5,23,429,60.1,32.2,0,1
84.2,22.9,432,60.4,32.2,0,1
,,,,,1,
84,23,434,60,32.2,1,1
,,,,,1,
90.4,23.1,434,59.3,32.2,1,1
92.9,22.9,434,59.3,32.2,1,1
,,,,,0,
93.9,22.6,433,59.6,32.2,0,1
,,,,,0,
92.3,22.3,434,59.4,32.2,0,1
,,,,,0,
87.6,22.2,431,59.7,32.2,0,1
,,,,,1,
85.9,22.3,429,59.6,32.2,1,1
,,,,,1,
91.7,22.4,431,59.9,32.2,1,1
93.4,22.3,430,59.9,32.2,1,1
,,,,,0,
94.8,22.1,428,59.8,32.2,0,1
,,,,,0,
94.1,21.8,427,59.7,32.2,0,1
,,,,,0,
90.7,21.6,427,59.8,32.2,0,1
,,,,,,0
87.7,21.7,427,60,32.2,0,0
,,,,,1,
,,,,,0,0
88.8,21.9,426,60.2,32.2,1,0
,,,,,,0
93.4,22.3,426,59.5,32.2,1,0
,,,,,0,
95.3,22.5,425,59.8,32.2,0,0
,,,,,0,
96.2,22.7,426,59.8,32.1,0,0
,,,,,0,
96.9,22.9,427,59.7,32.2,0,0
,,,,,0,
97.2,23.1,426,60.2,32.1,0,0
,,,,,0,
97.5,23.2,424,60.1,32.1,0,0
,,,,,0,
97.8,23.4,426,60.1,32.1,0,0
,,,,,0,
98,23.5,428,60.1,32.1,0,0
,,,,,,
98.1,23.7,427,60.1,32.1,0,0
,,,,,0,
98.2,23.8,427,60.2,32.1,0,0
,,,,,0,
,,,,,,1
98.2,23.9,428,59.8,32.1,0,1
,,,,,0,
,,,,,,1
97.2,23.2,430,60.2,32.1,0,1
,,,,,0,
93.7,22.8,430,60,32.1,0,1
,,,,,0,
87,23,430,59.6,32.1,0,1
,,,,,1,
84.9,23.2,431,59.6,32.1,1,1
,,,,,1,
91.6,23.4,431,59.4,32.1,1,1
93.8,23.2,430,59.5,32.2,1,1
,,,,,0,
94.7,22.9,427,59.6,32.1,0,1
,,,,,0,
93.2,22.5,427,59.8,32.1,0,1
88.3,22.3,428,60.2,32.1,0,1
84.5,22.4,428,59.5,32.2,0,1
,,,,,1,
86.4,22.6,430,59.2,32.2,1,1
,,,,,1,
91.7,22.6,428,59,32.2,1,1
93.7,22.4,429,59.4,32.2,1,1
,,,,,0,
94.5,22.2,426,60.4,32.1,0,1
,,,,,,
93.8,21.8,424,60.1,32.1,0,1
,,,,,0,
90,21.7,423,60.4,32.1,0,1
,,,,,,0
87.3,21.8,423,60.3,32.1,0,0
,,,,,1,
88.4,22,422,60,32.2,1,0
92.9,22.4,423,59.1,32.1,1,0
,,,,,0,
94.7,22.5,422,60,32.1,0,0
,,,,,0,
95.9,22.7,424,59.8,32.1,0,0
,,,,,0,
96.6,22.9,427,59.1,32.1,0,0
,,,,,0,
97,23.1,429,59.4,32.1,0,0
,,,,,0,
97.3,23.2,430,60.1,32.1,0,0
,,,,,0,
97.6,23.5,433,60,32.2,0,0
,,,,,0,
97.8,23.6,432,59.2,32.1,0,0
,,,,,0,
98,23.7,433,58.9,32.1,0,0
,,,,,0,
98,23.8,434,59.7,32.2,0,0
,,,,,0,
,,,,,,1
98,23.8,436,58.6,32.2,0,1
,,,,,0,
,,,,,,1
96.3,23.2,435,60,32.2,0,1
,,,,,0,
91.1,23.1,434,59.5,32.2,0,1
84.6,23.2,433,58,32.2,0,1
,,,,,1,
84.1,23.5,432,58,32.2,1,1
,,,,,1,
89.6,23.6,433,58.2,32.2,1,1
92.3,23.4,431,58,32.2,1,1
,,,,,0,
93.5,23.2,430,58.1,32.3,0,1
,,,,,0,
90,22.6,434,57.9,32.2,0,1
85.4,22.6,434,57.6,32.2,0,1
,,,,,1,
